first_name,second_name,position,position_abv,team,team_abv,selected_by_percent,chance_of_playing_this_round,this_round_chance,chance_of_playing_next_round,next_round_chance,status,now_cost,minutes,transfers_in,total_points,value_season
Luka,Milivojevic,Midfielder,MID,Crystal Palace,CRY,1.0,,1.0,,1.0,a,60,2510,0,81,13.5
Patrick,van Aanholt,Defender,DEF,Crystal Palace,CRY,0.1,,1.0,0.0,0.0,i,55,2507,0,109,19.8
Jordan,Ayew,Forward,FWD,Crystal Palace,CRY,7.1,,1.0,,1.0,a,60,3148,0,132,22.0
Wilfried,Zaha,Midfielder,MID,Crystal Palace,CRY,7.9,,1.0,,1.0,a,70,3279,0,120,17.1
Jeffrey,Schlupp,Midfielder,MID,Crystal Palace,CRY,0.1,,1.0,,1.0,a,55,1030,0,51,9.3
Max,Meyer,Midfielder,MID,Crystal Palace,CRY,0.1,,1.0,,1.0,a,50,645,0,23,4.6
Jairo,Riedewald,Midfielder,MID,Crystal Palace,CRY,0.2,,1.0,,1.0,a,45,761,0,22,4.9
Nathan,Ferguson,Defender,DEF,Crystal Palace,CRY,2.2,,1.0,0.0,0.0,i,40,0,0,0,0.0
Tyrick,Mitchell,Defender,DEF,Crystal Palace,CRY,12.4,,1.0,,1.0,a,40,193,0,4,1.0
Brandon,Pierrick,Midfielder,MID,Crystal Palace,CRY,0.1,,1.0,,1.0,a,45,13,0,2,0.4
Scott,Dann,Defender,DEF,Crystal Palace,CRY,0.3,,1.0,,1.0,a,45,1264,0,51,11.3
Eberechi,Eze,Midfielder,MID,Crystal Palace,CRY,0.7,,1.0,75.0,0.75,d,60,0,0,0,0.0
Theo,Walcott,Midfielder,MID,Everton,EVE,0.3,,1.0,,1.0,a,60,1281,0,63,10.5
Fabian,Delph,Midfielder,MID,Everton,EVE,0.1,,1.0,50.0,0.5,d,50,1187,0,24,4.8
Gylfi,Sigurdsson,Midfielder,MID,Everton,EVE,1.9,,1.0,,1.0,a,70,2555,0,95,13.6
Jonas,Lössl,Goalkeeper,GKP,Everton,EVE,0.2,,1.0,,1.0,a,45,0,0,0,0.0
Seamus,Coleman,Defender,DEF,Everton,EVE,0.7,,1.0,,1.0,a,50,1833,0,55,11.0
Cenk,Tosun,Forward,FWD,Everton,EVE,0.0,,1.0,0.0,0.0,i,60,462,0,24,4.0
Bernard,Anício Caldeira Duarte,Midfielder,MID,Everton,EVE,0.2,,1.0,,1.0,a,60,1269,0,72,12.0
Lucas,Digne,Defender,DEF,Everton,EVE,7.1,,1.0,,1.0,a,60,3031,0,120,20.0
Michael,Keane,Defender,DEF,Everton,EVE,1.7,,1.0,,1.0,a,50,2556,0,90,18.0
Jordan,Pickford,Goalkeeper,GKP,Everton,EVE,4.7,,1.0,,1.0,a,50,3420,0,117,23.4
André Filipe,Tavares Gomes,Midfielder,MID,Everton,EVE,0.4,,1.0,,1.0,a,55,1457,0,39,7.1
Alex,Iwobi,Midfielder,MID,Everton,EVE,0.2,,1.0,,1.0,a,60,1591,0,52,8.7
Jonjoe,Kenny,Defender,DEF,Everton,EVE,0.2,,1.0,,1.0,a,45,0,0,0,0.0
Jean-Philippe,Gbamin,Midfielder,MID,Everton,EVE,0.0,,1.0,0.0,0.0,i,50,135,0,4,0.8
Yerry,Mina,Defender,DEF,Everton,EVE,0.9,,1.0,,1.0,a,55,2281,0,78,14.2
Tom,Davies,Midfielder,MID,Everton,EVE,0.1,,1.0,,1.0,a,55,2020,0,59,10.7
Dominic,Calvert-Lewin,Forward,FWD,Everton,EVE,6.7,,1.0,,1.0,a,70,2621,0,126,18.0
Mason,Holgate,Defender,DEF,Everton,EVE,0.2,,1.0,25.0,0.25,d,50,2052,0,71,14.2
Richarlison,de Andrade,Forward,FWD,Everton,EVE,10.6,,1.0,,1.0,a,80,3070,0,165,20.6
João,Virgínia,Goalkeeper,GKP,Everton,EVE,0.1,,1.0,,1.0,a,45,0,0,0,0.0
Anthony,Gordon,Midfielder,MID,Everton,EVE,1.0,,1.0,,1.0,a,45,436,0,17,3.8
Moise,Kean,Forward,FWD,Everton,EVE,0.5,,1.0,,1.0,a,60,830,0,53,8.8
Jarrad,Branthwaite,Defender,DEF,Everton,EVE,4.6,,1.0,,1.0,a,40,299,0,11,2.8
