first_name,second_name,full_name,id,position,position_abv,team,team_abv,selected_by_percent,chance_of_playing_this_round,this_round_chance,chance_of_playing_next_round,next_round_chance,status,now_cost,minutes,appearances,transfers_in,total_points,value_season
Josh,Brownhill,Josh Brownhill,98,Midfielder,MID,Burnley,BUR,0,,1,,1,a,50,805,10,0,21,4.2
Josh,Onomah,Josh Onomah,188,Midfielder,MID,Fulham,FUL,0.2,,1,,1,a,50,0,0,0,0,0
Josh,Sims,Josh Sims,374,Midfielder,MID,Southampton,SOU,0.2,,1,,1,a,45,0,0,0,0,0
Juan,Mata,Juan Mata,290,Midfielder,MID,Man Utd,MUN,0.1,,1,,1,a,60,747,19,0,38,6.3
Juan,Foyth,Juan Foyth,406,Defender,DEF,Spurs,TOT,0.2,,1,,1,a,45,66,4,0,3,0.7
Kai,Havertz,Kai Havertz,500,Midfielder,MID,Chelsea,CHE,12.7,,1,,1,a,85,0,0,0,0,0
Kalvin,Phillips,Kalvin Phillips,204,Midfielder,MID,Leeds,LEE,2.5,,1,,1,a,50,0,0,0,0,0
Kamil,Miazek,Kamil Miazek,208,Goalkeeper,GKP,Leeds,LEE,2.4,,1,,1,a,40,0,0,0,0,0
Kamil,Grosicki,Kamil Grosicki,410,Midfielder,MID,West Brom,WBA,0.1,,1,,1,a,55,0,0,0,0,0
Karl,Darlow,Karl Darlow,325,Goalkeeper,GKP,Newcastle,NEW,0.2,,1,,1,a,50,0,0,0,0,0
Kasper,Schmeichel,Kasper Schmeichel,217,Goalkeeper,GKP,Leicester,LEI,14.2,,1,,1,a,55,3420,38,0,156,28.4
Keinan,Davis,Keinan Davis,50,Forward,FWD,Aston Villa,AVL,15.3,,1,,1,a,45,534,18,0,25,5.6
Kelechi,Iheanacho,Kelechi Iheanacho,233,Forward,FWD,Leicester,LEI,0.7,,1,,1,a,60,953,20,0,64,10.7
Kelland,Watts,Kelland Watts,342,Defender,DEF,Newcastle,NEW,0.4,,1,0,0,n,40,16,1,0,1,0.2
Kenneth,Zohore,Kenneth Zohore,416,Forward,FWD,West Brom,WBA,0.2,,1,75,0.75,d,50,0,0,0,0,0
Kenny,Tete,Kenny Tete,517,Defender,DEF,Fulham,FUL,0.1,,1,,1,a,45,0,0,0,0,0
Kepa,Arrizabalaga,Kepa Arrizabalaga,112,Goalkeeper,GKP,Chelsea,CHE,2.3,,1,,1,a,50,2970,33,0,90,18
Kevin,Long,Kevin Long,85,Defender,DEF,Burnley,BUR,0.2,,1,,1,a,45,562,8,0,21,4.7
Kevin,McDonald,Kevin McDonald,172,Midfielder,MID,Fulham,FUL,0.1,,1,,1,a,50,0,0,0,0,0
Kevin,De Bruyne,Kevin De Bruyne,272,Midfielder,MID,Man City,MCI,27.4,,1,,1,a,115,2790,35,0,251,21.8
Kieran,Tierney,Kieran Tierney,17,Defender,DEF,Arsenal,ARS,11.8,,1,,1,a,55,986,15,0,42,7.6
Kieran,Gibbs,Kieran Gibbs,407,Defender,DEF,West Brom,WBA,0.9,,1,,1,a,45,0,0,0,0,0
Konstantinos,Tsimikas,Konstantinos Tsimikas,242,Defender,DEF,Liverpool,LIV,0.1,,1,75,0.75,d,50,0,0,0,0,0
Kortney,Hause,Kortney Hause,39,Defender,DEF,Aston Villa,AVL,0.1,,1,,1,a,45,1544,18,0,34,7.6
Kurt,Zouma,Kurt Zouma,110,Defender,DEF,Chelsea,CHE,0.9,,1,,1,a,50,2343,28,0,62,12.4
Kyle,Walker,Kyle Walker,270,Defender,DEF,Man City,MCI,5.3,,1,,1,a,60,2392,29,0,114,19
Kyle,Walker-Peters,Kyle Walker-Peters,375,Defender,DEF,Southampton,SOU,12.5,,1,,1,a,45,944,13,0,32,7.1
Kyle,Bartley,Kyle Bartley,412,Defender,DEF,West Brom,WBA,0.2,,1,,1,a,45,0,0,0,0,0
Kyle,Edwards,Kyle Edwards,421,Midfielder,MID,West Brom,WBA,0,,1,,1,a,50,0,0,0,0,0
Leander,Dendoncker,Leander Dendoncker,464,Midfielder,MID,Wolves,WOL,2.6,,1,,1,a,50,2790,38,0,100,20
Leandro,Trossard,Leandro Trossard,69,Midfielder,MID,Brighton,BHA,0.4,,1,,1,a,60,2004,31,0,104,17.3
Leif,Davis,Leif Davis,214,Defender,DEF,Leeds,LEE,1.6,,1,,1,a,40,0,0,0,0,0
Léo,Bonatini,Léo Bonatini,463,Forward,FWD,Wolves,WOL,0.3,,1,,1,a,50,0,0,0,0,0
Leonardo,Campana,Leonardo Campana,476,Forward,FWD,Wolves,WOL,0.3,,1,,1,a,50,0,0,0,0,0
Lewis,Dunk,Lewis Dunk,62,Defender,DEF,Brighton,BHA,9.7,,1,,1,a,50,3230,36,0,128,25.6
Liam,Cooper,Liam Cooper,195,Defender,DEF,Leeds,LEE,0.9,,1,,1,a,45,0,0,0,0,0
Lucas,Torreira,Lucas Torreira,19,Midfielder,MID,Arsenal,ARS,0.3,,1,,1,a,50,1501,29,0,46,9.2
Lucas,Digne,Lucas Digne,155,Defender,DEF,Everton,EVE,7.1,,1,,1,a,60,3031,35,0,120,20
Lucas,Rodrigues Moura da Silva,Lucas Rodrigues Moura da Silva,392,Midfielder,MID,Spurs,TOT,2.7,,1,,1,a,70,2235,35,0,100,14.3
Luka,Milivojevic,Luka Milivojevic,138,Midfielder,MID,Crystal Palace,CRY,1,,1,,1,a,60,2510,31,0,81,13.5
Lukasz,Fabianski,Lukasz Fabianski,431,Goalkeeper,GKP,West Ham,WHU,1.8,,1,,1,a,50,2117,25,0,83,16.6
Luke,Thomas,Luke Thomas,240,Defender,DEF,Leicester,LEI,0.5,,1,,1,a,45,267,3,0,15,3.3
Luke,Ayling,Luke Ayling,197,Defender,DEF,Leeds,LEE,4.1,,1,,1,a,45,0,0,0,0,0
Luke,Shaw,Luke Shaw,300,Defender,DEF,Man Utd,MUN,1.2,,1,,1,a,50,1730,24,0,67,13.4
Luke,Freeman,Luke Freeman,477,Midfielder,MID,Sheffield Utd,SHU,0,,1,0,0,n,50,360,11,0,13,2.6
Lys,Mousset,Lys Mousset,359,Forward,FWD,Sheffield Utd,SHU,0.5,,1,,1,a,60,1223,30,0,84,14
Mahmoud Ahmed,Ibrahim Hassan,Trézéguet,40,Midfielder,MID,Aston Villa,AVL,1.3,,1,,1,a,55,1936,34,0,98,17.8
Mamadou,Sakho,Mamadou Sakho,127,Defender,DEF,Crystal Palace,CRY,0,,1,0,0,i,45,929,14,0,11,2.4
Manuel,Lanzini,Manuel Lanzini,439,Midfielder,MID,West Ham,WHU,0.1,,1,75,0.75,d,65,1370,24,0,50,7.7
Marc,Albrighton,Marc Albrighton,221,Midfielder,MID,Leicester,LEI,0.2,,1,,1,a,55,857,20,0,38,6.9
Marcos,Alonso,Marcos Alonso,104,Defender,DEF,Chelsea,CHE,3.7,,1,,1,a,60,1429,18,0,100,16.7
Marcos,Rojo,Marcos Rojo,294,Defender,DEF,Man Utd,MUN,0.1,,1,,1,a,50,121,3,0,3,0.6
Marcus,Bettinelli,Marcus Bettinelli,183,Goalkeeper,GKP,Fulham,FUL,0.2,,1,0,0,n,45,0,0,0,0,0
Marcus,Rashford,Marcus Rashford,306,Midfielder,MID,Man Utd,MUN,5.2,,1,,1,a,95,2645,31,0,177,18.6
Marek,Rodák,Marek Rodák,186,Goalkeeper,GKP,Fulham,FUL,0.5,,1,,1,a,45,0,0,0,0,0
Mario,Lemina,Mario Lemina,493,Midfielder,MID,Fulham,FUL,1.3,,1,,1,a,45,0,0,0,0,0
Mark,Gillespie,Mark Gillespie,488,Goalkeeper,GKP,Newcastle,NEW,0.1,,1,,1,a,45,0,0,0,0,0
Mark,Noble,Mark Noble,427,Midfielder,MID,West Ham,WHU,2.4,,1,,1,a,50,2675,33,0,105,21
Martin,Kelly,Martin Kelly,135,Defender,DEF,Crystal Palace,CRY,1.4,,1,,1,a,45,1547,19,0,64,14.2
Martin,Dubravka,Martin Dubravka,326,Goalkeeper,GKP,Newcastle,NEW,0.6,,1,0,0,i,50,3420,38,0,143,28.6
Martín,Montoya,Martín Montoya,63,Defender,DEF,Brighton,BHA,0,,1,0,0,u,45,1892,27,0,62,13.8
Marvelous,Nakamba,Marvelous Nakamba,44,Midfielder,MID,Aston Villa,AVL,0.6,,1,,1,a,45,1826,29,0,43,9.6
Mason,Mount,Mason Mount,120,Midfielder,MID,Chelsea,CHE,9.4,,1,,1,a,70,2865,37,0,137,19.6
Mason,Holgate,Mason Holgate,165,Defender,DEF,Everton,EVE,0.2,,1,25,0.25,d,50,2052,27,0,71,14.2
Mason,Greenwood,Mason Greenwood,315,Midfielder,MID,Man Utd,MUN,8.6,,1,,1,a,75,1303,31,0,103,13.7
Matej,Vydra,Matej Vydra,93,Forward,FWD,Burnley,BUR,0.6,,1,,1,a,50,807,19,0,39,7.8
Mateo,Kovacic,Mateo Kovacic,107,Midfielder,MID,Chelsea,CHE,0.1,,1,0,0,s,55,2065,31,0,68,12.4
Mateusz,Klich,Mateusz Klich,198,Midfielder,MID,Leeds,LEE,0.6,,1,,1,a,55,0,0,0,0,0
Matheus,Pereira,Matheus Pereira,481,Midfielder,MID,West Brom,WBA,3.4,,1,,1,a,60,0,0,0,0,0
Mathew,Ryan,Mat Ryan,70,Goalkeeper,GKP,Brighton,BHA,20.2,,1,,1,a,45,3420,38,0,135,30
Matija,Sarkic,Matija Sarkic,472,Goalkeeper,GKP,Wolves,WOL,0.2,,1,,1,a,45,0,0,0,0,0
Matt,Targett,Matt Targett,42,Defender,DEF,Aston Villa,AVL,1.1,,1,,1,a,45,2291,28,0,80,17.8
Matt,Ritchie,Matt Ritchie,322,Midfielder,MID,Newcastle,NEW,0.2,,1,50,0.5,d,50,1312,18,0,74,14.8
Matt,Doherty,Matt Doherty,457,Defender,DEF,Spurs,TOT,26.3,,1,,1,a,60,2836,36,0,167,27.8
Matt,Phillips,Matt Phillips,411,Midfielder,MID,West Brom,WBA,0.2,,1,,1,a,55,0,0,0,0,0
Matteo,Guendouzi,Matteo Guendouzi,25,Midfielder,MID,Arsenal,ARS,0.2,,1,,1,a,50,1744,24,0,48,9.6
Matthew,Cash,Matthew Cash,496,Defender,DEF,Aston Villa,AVL,0.4,,1,,1,a,50,0,0,0,0,0
Matthew,Clarke,Matthew Clarke,73,Defender,DEF,Brighton,BHA,0,,1,0,0,n,45,0,0,0,0,0
Matthew,Lowton,Matthew Lowton,92,Defender,DEF,Burnley,BUR,0.2,,1,,1,a,45,1530,17,0,48,10.7
